backend,member,group,frames,atoms,component_mae,component_rmse,component_p95,component_p99,component_max,vector_p95,vector_max
deepmd,dft/qsd/qsd_data.extxyz,CF3_10eV_19_68,13,1352,50.994976028899934,1195.5265760311502,12.088459105952502,647.750147832627,51970.178142146324,30.288598623577922,53664.3673991638
deepmd,dft/qsd/qsd_data.extxyz,CF3_10eV_19_84,5,515,11.65705576050882,196.6147974895979,0.6340903880791108,17.675906221836982,4685.7207350419985,1.374153563981406,5394.273595928967
deepmd,dft/qsd/qsd_data.extxyz,CF3_20eV_4_36,5,545,20.275643100549615,290.0113643792726,15.624060171781347,267.543418065432,7570.449516452465,31.886307816743326,8163.762540301649
deepmd,dft/qsd/qsd_data.extxyz,CF3_20eV_4_50,5,550,6.423524068429831,96.42341306658214,0.7077801431407998,89.32281610448223,2436.6544451724876,1.2338892466544296,2784.3264384623362
deepmd,dft/qsd/qsd_data.extxyz,CF3_20eV_4_78,11,1045,27.646720770408354,466.895724382294,3.859857129294563,88.69100758927101,15213.283416366501,9.962082700010075,17334.528122723168
deepmd,dft/qsd/qsd_data.extxyz,CF3_20eV_4_98,22,1804,37.41847824104343,529.3893547071565,6.958582920895023,341.6838330420047,13193.19880846161,17.915928475262376,17701.685189391847
deepmd,dft/qsd/qsd_data.extxyz,CF3_30eV_9_36,37,3256,31.36867119833295,627.0966203146927,7.826513654892846,290.0867610152451,34856.202418165165,19.238305589883247,40091.244904766194
deepmd,dft/qsd/qsd_data.extxyz,CF3_30eV_9_9,13,1365,28.982221312636874,370.0790144729034,8.086378234151834,468.7279451837962,11694.241501916857,20.48430444251665,13534.986569922732
deepmd,dft/qsd/qsd_data.extxyz,CF_10eV_4_37,10,1080,9.357844447404533,150.34592785293995,1.735265413937422,44.90541738351937,4473.459150057389,5.759303050292341,5264.82626260278
deepmd,dft/qsd/qsd_data.extxyz,CF_10eV_4_39,4,436,5.254927794578617,83.47937284122868,0.5132689195452853,12.487924249959372,1834.4863318641621,0.7778153266485643,2120.3729079696627
deepmd,dft/qsd/qsd_data.extxyz,CF_10eV_4_5,4,416,10.129310217181223,153.81755811063235,0.879104168349252,23.930249236182476,3274.298244807576,1.384528841412802,3801.339435633884
deepmd,dft/qsd/qsd_data.extxyz,CF_10eV_4_54,7,735,2.333419457404959,35.10742333299959,0.7373243781264849,8.750093879799072,882.9111140149532,1.345999680637734,1023.1135887047961
deepmd,dft/qsd/qsd_data.extxyz,CF_10eV_4_93,4,412,70.97205884006262,594.4703962802366,24.551273193508393,1885.9408838845839,10244.270640325256,45.844042853964865,11381.469326616874
deepmd,dft/qsd/qsd_data.extxyz,CF_10eV_4_98,5,500,12.04716716982291,201.78062796655664,0.5880265290943697,7.764256998263528,4726.0679789886135,0.9733718228543917,5448.390137298388
deepmd,dft/qsd/qsd_data.extxyz,CF_20eV_2_32,5,515,8.16208243528329,139.72122678578,0.7390100652550019,8.793271029668496,3320.0379164439696,1.4206654073202034,3837.3194053947987
deepmd,dft/qsd/qsd_data.extxyz,CF_20eV_2_52,10,930,9.842949954519948,151.68303187043614,0.8525902923909607,113.25085839020346,4585.322572469788,1.2207757204397323,5293.7709030879305
deepmd,dft/qsd/qsd_data.extxyz,CF_20eV_2_54,9,846,7.616941841470924,86.3075643406556,1.5382549172551458,167.38024061513445,1929.88049284871,3.0325212268906556,2223.1660692133178
deepmd,dft/qsd/qsd_data.extxyz,CF_20eV_2_76,5,480,15.279734905376742,202.1856253807055,2.5205259697548104,32.54495929649697,3907.623169283007,5.668925365823987,4812.636001624175
deepmd,dft/qsd/qsd_data.extxyz,CF_20eV_2_79,9,846,57.03456754356442,1146.228710384506,5.689668676918543,296.3901221371035,31996.525265236574,16.62281646676199,41756.600475498424
deepmd,dft/qsd/qsd_data.extxyz,CF_30eV_18_12,6,534,33.3031652034764,488.0984214349947,2.300565352470027,81.59300256653273,11150.50979029098,5.6745488069527354,12819.755960783641
deepmd,dft/qsd/qsd_data.extxyz,CF_30eV_18_13,7,623,3.528577218565647,51.58663065030551,0.5781692144302576,5.116995770002028,1254.667167561916,1.0165062086180474,1446.6932242622706
deepmd,dft/qsd/qsd_data.extxyz,CF_30eV_18_3,27,2754,18.46657447179565,295.6119563550857,7.456591746895568,112.47669364713947,12095.281870090459,18.315611551481553,12919.566079428057
