backend,id,kind,case,status,rotation_energy_error_eV,rotation_force_max_eV_A,translation_energy_error_eV,translation_force_max_eV_A,permutation_energy_error_eV,permutation_force_max_eV_A,reference_force_scale_eV_A,pair,distance_A,reference,energy_eV,radial_force_eV_A,net_force_eV_A,fd_steps_A,fd_force_errors_eV_A
nequip,pair:Si-Si:6,pair,,ok,,,,,,,,Si-Si,6.0,"none; qualitative diagnostic, not chemical accuracy",-1.7378,-0.0,0.0,,
deepmd,symmetry:dft/FC/CF0.2_d2.3.extxyz:0,symmetry,dft/FC/CF0.2_d2.3.extxyz:0,ok,8.255243301391602e-06,5.874455497956177e-05,5.02169132232666e-06,2.7460072942631086e-05,1.1920928955078125e-07,2.9262155294418335e-06,13.572008919203654,,,,,,,,
deepmd,symmetry:dft/etch/trj_CF2_30eV.extxyz:0,symmetry,dft/etch/trj_CF2_30eV.extxyz:0,ok,4.366040229797363e-06,3.4926078655184156e-05,4.902482032775879e-06,8.537112830708793e-05,1.7434358596801758e-06,1.973239704966545e-06,5.617081959244388,,,,,,,,
deepmd,symmetry:dft/mqa/mqa_Si.extxyz:0,symmetry,dft/mqa/mqa_Si.extxyz:0,ok,8.866190910339355e-07,1.0496879432497774e-05,7.078051567077637e-07,1.006200909614563e-05,6.631016731262207e-07,3.80445271730423e-07,1.7460974710411392,,,,,,,,
deepmd,symmetry:dft/qsd/qsd_data.extxyz:13,symmetry,dft/qsd/qsd_data.extxyz:13,ok,1.9669532775878906e-06,3.41822549619758e-05,4.425644874572754e-06,4.532397724688053e-05,1.8849968910217285e-06,1.8980354070663452e-06,11.39211972663179,,,,,,,,
deepmd,pair:C-C:0.5,pair,,ok,,,,,,,,C-C,0.5,"none; qualitative diagnostic, not chemical accuracy",34.27402877807617,4.651766300201416,0.0,,
deepmd,pair:C-C:0.65,pair,,ok,,,,,,,,C-C,0.65,"none; qualitative diagnostic, not chemical accuracy",35.6694450378418,137.89830017089844,0.0,,
deepmd,pair:C-C:0.8,pair,,ok,,,,,,,,C-C,0.8,"none; qualitative diagnostic, not chemical accuracy",11.587574005126953,101.81674194335938,0.0,"[0.001, 0.0005]","[0.0032501220703125, 0.0013427734375]"
deepmd,pair:C-C:1,pair,,ok,,,,,,,,C-C,1.0,"none; qualitative diagnostic, not chemical accuracy",-4.784893035888672,44.63727569580078,0.0,,
deepmd,pair:C-C:1.2,pair,,ok,,,,,,,,C-C,1.2,"none; qualitative diagnostic, not chemical accuracy",-9.13801097869873,6.206142425537109,0.0,,
